Model,Benchmark,CF (hint),CF (no hint),Delta,p-value,Cohen's h
Llama-3.1-8B,FOLIO,76.2%,1.8%,+74.4%,0.0000,1.85
Llama-3.1-8B,GSM8K,86.4%,16.6%,+69.8%,0.0000,1.55
Llama-3.1-8B,MATH,70.9%,16.4%,+54.5%,0.0000,1.17
Llama-3.2-3B,FOLIO,86.2%,16.6%,+69.6%,0.0000,1.54
Llama-3.2-3B,GSM8K,85.0%,13.9%,+71.1%,0.0000,1.58
Llama-3.2-3B,MATH,67.6%,20.3%,+47.3%,0.0000,1.00
Phi-3-Mini,FOLIO,32.0%,6.0%,+26.0%,0.0000,0.71
Phi-3-Mini,GSM8K,87.6%,16.9%,+70.8%,0.0000,1.58
Phi-3-Mini,MATH,76.5%,24.3%,+52.2%,0.0000,1.10
Qwen-2.5-1.5B,FOLIO,1.7%,0.9%,+0.9%,1.0000,0.08
Qwen-2.5-1.5B,GSM8K,5.6%,2.0%,+3.6%,0.1213,0.19
Qwen-2.5-1.5B,MATH,6.8%,4.8%,+2.0%,0.3711,0.09
Qwen-2.5-7B,FOLIO,31.2%,1.1%,+30.2%,0.0000,0.98
Qwen-2.5-7B,GSM8K,88.4%,32.7%,+55.8%,0.0000,1.23
Qwen-2.5-7B,MATH,51.7%,12.2%,+39.4%,0.0000,0.89
