Model,Benchmark,Accuracy,Acc. CI,Knockout Faith.,Knockout h,Corruption Faith.,Corruption h,Counterfactual Faith.,Counterfactual h,Faith.|Correct,Faith.|Incorrect,Gap Test p,Gap,BH Sig.
Llama-3.2-3B,GSM8K,83.2%,"[77.2%, 88.6%]","14.0% [8.8%, 19.3%]",1.53,"12.4% [7.9%, 17.4%]",1.58,"85.2% [79.5%, 90.3%]",-0.06,34.2%,53.5%,0.0000*,+70.2%,Yes
Llama-3.2-3B,MATH,39.5%,"[32.3%, 46.7%]","35.5% [28.3%, 43.4%]",0.08,"23.7% [17.1%, 30.9%]",0.34,"66.4% [58.6%, 73.7%]",-0.55,24.9%,53.9%,0.3678,+5.9%,No
Llama-3.2-3B,FOLIO,46.0%,"[39.2%, 53.4%]","30.1% [23.5%, 37.3%]",0.33,"27.1% [21.0%, 33.7%]",0.40,"85.6% [80.3%, 90.4%]",-0.87,45.9%,50.9%,0.0000*,-39.4%,Yes
Qwen-2.5-7B,GSM8K,91.0%,"[86.9%, 95.0%]","10.1% [6.0%, 14.6%]",1.89,"15.6% [10.6%, 20.6%]",1.72,"88.4% [83.9%, 93.0%]",0.08,37.4%,44.4%,0.0000*,+80.9%,Yes
Qwen-2.5-7B,MATH,49.2%,"[42.0%, 56.4%]","15.6% [10.6%, 21.2%]",0.74,"16.2% [11.2%, 21.8%]",0.73,"51.7% [44.4%, 58.9%]",-0.05,22.1%,33.6%,0.6559,-2.2%,No
Qwen-2.5-7B,FOLIO,68.3%,"[61.9%, 74.6%]","3.7% [1.6%, 6.3%]",1.56,"2.6% [0.5%, 5.3%]",1.62,"31.2% [24.9%, 38.1%]",0.76,11.4%,15.0%,0.0000*,+64.6%,Yes
Llama-3.1-8B,GSM8K,88.4%,"[83.9%, 92.5%]","11.1% [7.1%, 15.7%]",1.77,"12.6% [8.0%, 17.1%]",1.72,"86.4% [81.4%, 91.0%]",0.06,36.1%,42.0%,0.0000*,+75.9%,Yes
Llama-3.1-8B,MATH,40.0%,"[32.7%, 47.9%]","28.0% [21.3%, 34.8%]",0.25,"27.3% [20.6%, 33.9%]",0.27,"70.9% [63.6%, 77.6%]",-0.63,25.8%,53.0%,0.0372,+12.7%,No
Llama-3.1-8B,FOLIO,64.7%,"[57.6%, 71.8%]","34.9% [27.8%, 42.0%]",0.61,"21.2% [15.3%, 27.6%]",0.91,"76.3% [69.8%, 82.2%]",-0.26,38.4%,54.4%,0.0000*,+43.5%,Yes
Phi-3-Mini,GSM8K,55.5%,"[48.4%, 62.6%]","46.7% [39.4%, 53.9%]",0.18,"36.8% [29.7%, 44.0%]",0.38,"87.7% [82.7%, 92.2%]",-0.74,47.7%,68.5%,0.0014*,+18.7%,Yes
Phi-3-Mini,MATH,23.9%,"[16.2%, 31.6%]","59.3% [50.0%, 68.5%]",-0.73,"35.3% [26.7%, 44.0%]",-0.25,"75.9% [68.1%, 83.6%]",-1.09,48.1%,59.5%,0.0844,-11.2%,No
Phi-3-Mini,FOLIO,59.3%,"[51.3%, 66.7%]","21.3% [15.3%, 28.0%]",0.80,"14.0% [8.7%, 20.0%]",0.99,"32.0% [24.7%, 39.3%]",0.56,17.6%,29.5%,0.0000*,+38.0%,Yes
Mistral-7B,GSM8K,41.5%,"[35.0%, 48.5%]","38.7% [31.7%, 45.2%]",0.06,-,-,-,-,25.3%,48.3%,0.5961,+3.0%,No
Mistral-7B,MATH,7.3%,"[4.0%, 11.3%]","60.4% [50.5%, 70.3%]",-1.23,-,-,-,-,50.0%,60.9%,0.0000*,-56.0%,Yes
Mistral-7B,FOLIO,34.7%,"[28.1%, 41.2%]",-,-,-,-,-,-,-,-,-,-,
Qwen-2.5-1.5B,GSM8K,41.1%,"[34.0%, 47.7%]","38.1% [31.5%, 44.7%]",0.06,"28.9% [22.8%, 35.0%]",0.26,"5.6% [2.5%, 9.1%]",0.92,15.6%,30.2%,0.5432,+3.0%,No
Qwen-2.5-1.5B,MATH,25.9%,"[19.0%, 33.3%]","46.3% [38.1%, 54.4%]",-0.43,"32.2% [24.7%, 39.7%]",-0.14,"6.8% [3.4%, 10.9%]",0.54,28.9%,28.2%,0.0002*,-20.4%,Yes
Qwen-2.5-1.5B,FOLIO,50.9%,"[41.4%, 59.5%]","19.1% [12.2%, 26.1%]",0.68,"27.6% [19.8%, 35.3%]",0.48,"1.7% [0.0%, 4.3%]",1.32,11.3%,21.2%,0.0001*,+23.3%,Yes
